,County,State,Longitude,Latitude,Landfill Closure Year,Current Landfill Status,Design Landfill Area (acres),Current Landfill Area (acres),Design Landfill Depth (feet),Current Landfill Depth (feet),Landfill Design Capacity (tons),Waste in Place (tons),Annual Waste Acceptance Rate (tons per year),Volume Design,Volume Current,Percent Available,Years to Fill
1565,Gage,NE,-96.76866,40.21986,2029.0,Open,,,,,976967.0,913091.0,30805.0,,,,2.073559487096251
1566,Lancaster,NE,-96.6379,40.9146,2035.0,Open,171.0,110.5,150.0,,13301053.0,9546388.0,331346.0,25650.0,,,11.331553723298304
1567,Butler,NE,-97.0423,41.2613,2027.0,Open,64.0,58.2,,,,8513554.0,308915.0,,,,
1568,Kimball,NE,-103.69601,41.2384,,Open,,,,,,,1793.0,,,,
1571,Douglas,NE,-96.241,41.385,2153.0,Open,405.0,187.5,,162.0,93943391.0,19399049.0,680571.0,,30375.0,,109.53205763983479
1573,Seward,NE,-97.05,40.747,2029.0,Open,65.3,30.0,,70.0,4009286.0,2182411.0,119311.0,,2100.0,,15.311874009940407
1574,Scotts Bluff,NE,-103.68464,41.830311,,Open,,,,,,,30947.0,,,,
1575,Hall,NE,-98.718,40.895,2038.0,Open,50.0,33.7,120.0,80.0,4372323.0,3066996.0,97059.0,6000.0,2696.0,0.5506666666666666,13.448799184001484
1576,Adams,NE,-98.433,40.57,2037.0,Open,160.0,22.3,,,2756250.0,1662527.0,57343.0,,,,19.073348098285756
1577,Phelps,NE,-99.374,40.418,,Open,150.0,,,,848467.0,458749.0,21323.0,,,,18.276884115743563
1578,Perkins,NE,-101.818187,40.984153,2053.0,Open,66.0,44.3,,,3878726.0,2322768.0,103817.0,,,,14.987506863037845
1579,Buffalo,NE,-99.176,40.73,2031.0,Open,160.0,,,,2509458.0,1020870.0,51119.0,,,,29.120053209178582
1581,Dakota,NE,-96.61456,42.47269,2032.0,Open,,70.4,90.0,,12727177.0,6318657.0,263172.0,,,,24.35107078260605
1582,Dawson,NE,-99.75,40.915,2041.0,Open,,14.9,,,2120547.0,944883.0,51393.0,,,,22.87595586947639
1583,Howard,NE,-98.54953,41.259561,,Open,,,,,,,12909.0,,,,
1584,Fillmore,NE,-97.765,40.516,,Open,20.0,,,,,,9311.0,,,,
1585,Stanton,NE,-97.092,41.786,2042.0,Open,74.0,44.2,,,4079250.0,2427724.0,121068.0,,,,13.641309016420523
1592,Cheyenne,NE,-102.958737,41.158295,2091.0,Open,,,,,,,7999.0,,,,
1593,Dawes,NE,-103.119107,42.979625,2097.0,Open,,,,,,,13346.0,,,,
1594,Cherry,NE,-100.501,42.826701,,Open,,,,,,,3638.0,,,,
1595,York,NE,-97.604,40.905,2042.0,Open,80.0,,,,,254240.0,24251.0,,,,
1609,Strafford,NH,-71.0642,43.3894,,Open,,,,,,,3575.0,,,,
1611,Hillsborough,NH,-71.518,42.728,2030.0,Open,,77.1,,,5051686.0,4183852.0,86485.0,,,,10.034503093021911
1621,Grafton,NH,-72.3267,43.6139,2027.0,Open,,37.8,,75.0,2569338.0,2094478.0,50191.0,,2835.0,,9.461058755553784
1628,Coos,NH,-71.162,44.475,2048.0,Open,110.0,70.3,120.0,35.0,14791087.0,7726458.0,329506.0,13200.0,2460.5,0.8135984848484848,21.440061789466657
1631,Grafton,NH,-71.628,44.26,2027.0,Open,51.0,35.4,110.0,110.0,6542417.0,6115829.0,227078.0,5610.0,3894.0,0.3058823529411765,1.87859678172258
1641,Strafford,NH,-70.9695,43.2448,2035.0,Open,,209.5,,,59591376.0,39427783.0,1508519.0,,,,13.366482623022979
1643,Atlantic,NJ,-74.54,39.426,2027.0,Open,102.0,71.0,145.0,110.0,13478534.0,7613944.0,336383.0,14790.0,7810.0,0.4719405003380662,17.434263919401396
1644,Burlington,NJ,-74.76,40.076,2025.0,Open,,115.4,42.0,,12317567.0,10879415.0,347338.0,,,,4.140497152629427
1645,Cape May,NJ,-74.7749,39.2294,2094.0,Open,167.0,77.0,,,23648625.0,6321290.0,187577.0,,,,92.37451819786008
1646,Cumberland,NJ,-75.0996,39.45,2041.0,Open,275.0,78.3,,,13802362.0,6781658.0,222934.0,,,,31.492298168964805
1651,Gloucester,NJ,-75.285,39.7125,2050.0,Open,20.0,,,,,18429739.0,1181435.0,,,,
1661,Middlesex,NJ,-74.3961,40.4688,2029.0,Open,315.0,220.1,90.0,,20788841.0,16705713.0,565990.0,28350.0,,,7.214134525344971
1662,Monmouth,NJ,-74.115,40.245,2029.0,Open,,292.6,100.0,,32872185.0,20800717.0,419401.0,,,,28.78264000324272
1664,Ocean,NJ,-74.255,40.025,2025.0,Open,,261.8,,,22831793.0,20981125.0,606355.0,,,,3.0521196328883247
1666,Camden,NJ,-75.0342,39.991,2032.0,Open,,92.6,,,7728898.0,6886808.0,88043.0,,,,9.564530967822542
1668,Salem,NJ,-75.3785,39.5869,2043.0,Open,40.0,,,,5788125.0,3206723.0,80176.0,,,,32.19669227699062
1669,Sussex,NJ,-74.6719,41.094,2030.0,Open,54.5,45.0,,,3164722.0,1934255.0,87394.0,,,,14.079536352610019
1670,Warren,NJ,-75.006147,40.822044,,Open,,45.0,,,4240287.0,960000.0,196110.0,,,,16.726770689918922
1671,Santa Fe,NM,-106.087855,35.677746,2053.0,Open,,67.3,,,12871003.0,4141365.0,163513.0,,,,53.38803642523836
1672,Dona Ana,NM,-106.592,31.79,2060.0,Open,259.0,198.0,,,50683523.0,15864637.0,485232.0,,,,71.7571924357833
1673,Bernalillo,NM,-106.877,35.0105,2076.0,Open,360.0,215.5,150.0,100.0,50634518.0,15712969.0,546831.0,54000.0,21550.0,0.6009259259259259,63.86168487155995
1674,Curry,NM,-103.168175,34.380999,2102.0,Open,,110.0,,,10927319.0,3593091.0,70751.0,,,,103.66253480516177
1675,Dona Ana,NM,-107.03,32.245,2040.0,Open,,61.0,,,11877047.0,3946155.0,200235.0,,,,39.607920693185505
1677,Lea,NM,-103.07,32.4283,2048.0,Open,,47.5,,,2568948.0,1907372.0,105050.0,,,,6.297724892908139
1681,Otero,NM,-106.029,32.5642,2037.0,Open,,40.0,,,4455763.0,1947550.0,74108.0,,,,33.8453743185621
1682,Sandoval,NM,-106.671,35.2744,2028.0,Open,83.0,83.0,,75.0,8334947.0,6828435.0,168755.0,,6225.0,,8.927214008473824
1683,San Juan,NM,-108.0402,36.783,2146.0,Open,122.0,63.8,,,18807794.0,4355109.0,109566.0,,,,131.9084843838417
1684,Eddy,NM,-104.069167,32.500534,2045.0,Open,,,,,6275701.0,1987568.0,95094.0,,,,45.093623151828716
1685,Sandoval,NM,-106.6284,35.3064,2055.0,Open,,79.8,,,11042040.0,6367282.0,182373.0,,,,25.632950052913536
1687,Valencia,NM,-107.04069,34.72167,,Open,360.0,50.0,,,,,,,,,
1688,Clark,NV,-114.86518,36.374,2365.0,Open,1200.0,297.0,,500.0,994920296.0,78109522.0,2713850.0,,148500.0,,337.8266204838145
1689,Lander,NV,-116.9815,40.6029,2081.0,Open,83.3,,,,,,113997.0,,,,
1690,Clark,NV,-114.81342,35.96436,2135.0,Open,160.0,,74.0,,,2319518.0,21450.0,11840.0,,,
1691,Carson City,NV,-119.675,39.192,,Open,,,,,9564000.0,5276832.0,201341.0,,,,21.293069965878782
1692,Elko,NV,-115.7225,40.838,2133.0,Open,160.0,89.0,60.0,,15324750.0,1837739.0,70067.0,9600.0,,,192.4873478242254
1693,Lincoln,NV,-114.1286,37.6631,2063.0,Open,49.0,,,,,,5320.0,,,,
1695,White Pine,NV,-114.8724,39.2722,2047.0,Open,40.0,36.0,,,,,14177.0,,,,
1696,Eureka,NV,-115.955997,39.522803,2053.0,Open,25.6,,,,,,2221.0,,,,
1697,Esmeralda,NV,-117.266076,37.728419,2123.0,Open,20.0,,,,,,4561.0,,,,
1698,Mineral,NV,-118.668617,38.504181,2031.0,Open,26.5,,,,,,7990.0,,,,
1699,Clark,NV,-114.635802,35.180611,2035.0,Open,,22.2,,,1577070.0,1493189.0,18148.0,,,,4.622052016751157
1700,Storey,NV,-119.615,39.494,2139.0,Open,856.5,278.0,,158.0,346203240.0,45958196.0,1313370.0,,43924.0,,228.6065952473408
1701,Lincoln,NV,-114.0759,36.8922,,Open,26.5,,,,,,71322.0,,,,
1702,Nye,NV,-116.014485,36.657484,,Open,,,,,,,354.0,,,,
1705,Nye,NV,-115.9826,36.2465,2044.0,Open,75.0,,,,,,71463.0,,,,
1706,Pershing,NV,-118.545254,40.184063,2050.0,Open,43.0,,,,,,5061.0,,,,
1707,Nye,NV,-117.109529,38.743362,2043.0,Open,40.0,,,,,,8557.0,,,,
1708,Churchill,NV,-118.733792,39.231538,2030.0,Open,123.0,,,,,,89677.0,,,,
1710,Nye,NV,-117.160484,38.061362,,Open,80.0,,,,,,17814.0,,,,
1711,Nye,NV,-116.762241,37.802876,,Open,21.0,,,,,,384.0,,,,
1712,Elko,NV,-114.135,40.702,2048.0,Open,31.0,,,,,,9376.0,,,,
1715,Albany,NY,-73.8466,42.7036,2026.0,Open,,108.0,90.0,,11760081.0,9871977.0,73223.0,,,,25.785668437512804
1719,Oneida,NY,-75.411583,43.452965,2089.0,Open,150.0,23.0,,,27037508.0,4712025.0,303066.0,,,,73.66541611398178
1721,Oswego,NY,-76.34,43.348,2046.0,Open,90.0,43.6,135.0,71.0,2756249.0,2659813.0,110204.0,12150.0,3095.6,0.7452181069958848,0.8750680556059671
1724,Broome,NY,-75.98338,42.2368,2054.0,Open,240.0,160.0,,,17351327.0,8956144.0,284760.0,,,,29.48160907430819
1726,Erie,NY,-78.505,42.582,2027.0,Open,106.0,86.0,125.0,102.0,16022743.0,14510319.0,626204.0,13250.0,8772.0,0.33796226415094344,2.415225709193809
1727,Chautauqua,NY,-79.3156,42.2015,2030.0,Open,,83.3,220.0,120.0,10573574.0,8297264.0,226095.0,,9996.0,,10.067936044583028
1728,Chemung,NY,-76.682,42.037,2033.0,Open,126.0,63.5,60.0,60.0,10076561.0,6164129.0,423081.0,7560.0,3810.0,0.49603174603174605,9.247477433399277
1730,Chenango,NY,-75.6765,42.57,,Open,30.0,,,,1104009.0,,26183.0,,,,
1734,Clinton,NY,-73.594,44.691,2030.0,Open,107.3,73.5,,,7478842.0,5764182.0,284027.0,,,,6.036961274808381
1735,Cortland,NY,-76.0782,42.5932,2042.0,Open,,74.4,,,2170496.0,1787422.0,35962.0,,,,10.652188421111173
1738,Jefferson,NY,-75.918,43.82,2074.0,Open,75.0,52.8,,85.0,21340155.0,6917735.0,221121.0,,4488.0,,65.22410806752863
1739,Delaware,NY,-75.052,42.158,,Open,44.1,28.4,80.0,,,908000.0,18213.0,3528.0,,,
1751,Franklin,NY,-74.3323,44.9815,2035.0,Open,,71.9,,,3703027.0,2193109.0,128657.0,,,,11.735995709522218
1753,Fulton,NY,-74.4725,43.0127,2059.0,Open,105.0,31.5,,,10638978.0,3358187.0,144874.0,,,,50.256022474702156
1754,Saratoga,NY,-73.614199,43.186546,2030.0,Open,,,,,7871849.0,3034222.0,374000.0,,,,12.934831550802139
1756,Monroe,NY,-77.37943,43.08695,2053.0,Open,366.0,187.5,,129.0,68327176.0,26799095.0,1238287.0,,24187.5,,33.536717255369716
1758,Allegany,NY,-78.015,42.285,2029.0,Open,70.0,42.1,,,11460132.0,7707980.0,479381.0,,,,7.827077001383033
1761,Madison,NY,-75.7045,43.0308,2125.0,Open,44.0,41.0,80.0,80.0,9863424.0,2084593.0,57618.0,3520.0,3280.0,0.06818181818181823,135.00695963067096
1763,Monroe,NY,-77.9328,43.06504,2060.0,Open,98.0,90.0,90.0,,40423919.0,15318917.0,788975.0,8820.0,,,31.819768687220762
1764,Niagara,NY,-78.978997,43.210708,2038.0,Open,,139.0,38.0,,29326500.0,23228918.0,949253.0,,,,6.423558313747757
1768,Steuben,NY,-77.382,42.318,2026.0,Open,,61.5,46.0,,54401467.0,3936910.0,173064.0,,,,291.5947684093746
1769,Niagara,NY,-78.9998,43.09076,2025.0,Open,,205.0,50.0,,22822725.0,19151785.0,541097.0,,,,6.784254948743016
1776,Ontario,NY,-77.0804,42.8591,2028.0,Open,110.1,106.1,30.0,,21531289.0,18242532.0,834647.0,3303.0,,,3.9402969159417096
1787,Seneca,NY,-76.84716,42.91795,2025.0,Open,,250.9,85.0,,64866690.0,50810964.0,1906654.0,,,,7.371933240115931
1792,Albany,NY,-73.730981,42.807825,2038.0,Open,105.0,99.3,240.0,240.0,10473750.0,8881749.0,327005.0,25200.0,23832.0,0.05428571428571427,4.868430146328038
1801,Stark,OH,-81.264,40.72,2110.0,Open,,259.3,,,118986432.0,36915307.0,878886.0,,,,93.38085371709187
1802,Jefferson,OH,-80.91,40.435,2037.0,Open,118.0,82.0,,,75254145.0,22847163.0,2240034.0,,,,23.395618995068826
1804,Athens,OH,-82.279,39.46,2068.0,Open,135.0,35.0,200.0,100.0,16813125.0,5177837.0,182613.0,27000.0,3500.0,0.8703703703703703,63.715551466763046
1806,Jackson,OH,-82.4882,39.1237,2098.0,Open,,64.0,,,27116982.0,8084111.0,229547.0,,,,82.91491938470118
1809,Hamilton,OH,-84.818464,39.205893,,Open,,,,,,,47336.0,,,,
1810,Mahoning,OH,-80.519,41.00163,2057.0,Open,770.0,388.0,,,57366110.0,39994008.0,1142770.0,,,,15.201748383314227
1813,Logan,OH,-83.725,40.4145,2067.0,Open,120.0,120.0,,,29928518.0,15218873.0,367742.0,,,,39.9999048245781
1820,Coshocton,OH,-81.826,40.224,2173.0,Open,67.0,22.5,,,12389997.0,1554748.0,1.0,,,,10835249.0
1821,Wyandot,OH,-83.33,40.91,2189.0,Open,140.0,80.6,,,33816679.0,11584923.0,127405.0,,,,174.4967308975315
1822,Stark,OH,-81.42369,40.66683,2102.0,Open,258.0,174.8,,,72068683.0,25734821.0,486495.0,,,,95.24016074163147
1823,Crawford,OH,-82.869,40.8215,2045.0,Open,,84.5,,65.0,17769360.0,6372473.0,296178.0,,5492.5,,38.47985670779059
1825,Defiance,OH,-84.412224,41.252,2048.0,Open,,69.7,,,9217718.0,4655228.0,173902.0,,,,26.235983484951294
1829,Erie,OH,-82.6035,41.344,2041.0,Open,,134.8,,,7113494.0,5091289.0,164510.0,,,,12.29229226186858
1830,Wood,OH,-83.51224,41.60598,2062.0,Open,,150.0,,,21157320.0,14717230.0,151503.0,,,,42.50800314185198
1832,Franklin,OH,-83.10904,39.84186,2067.0,Open,362.0,164.5,248.0,165.0,96748841.0,28060720.0,1247956.0,89776.0,27142.5,0.697664186419533,55.04049902400405
1833,Gallia,OH,-82.239,38.984,2026.0,Open,38.0,33.0,,,2064334.0,1695090.0,17004.0,,,,21.71512585274053
1834,Ashtabula,OH,-80.905227,41.793893,2101.0,Open,,48.6,,,18204778.0,6081343.0,141868.0,,,,85.45574054755124
1836,Hancock,OH,-83.6785,41.1125,2045.0,Open,,65.6,120.0,,8327549.0,3000000.0,91000.0,,,,58.544494505494505
1838,Lucas,OH,-83.5056,41.6933,2092.0,Open,,91.2,,,10095593.0,7747281.0,163159.0,,,,14.392782500505641
1841,Tuscarawas,OH,-81.54137,40.51139,2040.0,Open,260.0,96.1,250.0,175.0,40731297.0,18602835.0,1221767.0,65000.0,16817.5,0.7412692307692308,18.11185111400128
1843,Lake,OH,-81.2004,41.756,2048.0,Open,250.0,200.0,,,15639184.0,9181479.0,235190.0,,,,27.4573961477954
1844,Lorain,OH,-82.175,41.305,2036.0,Open,,,,,54712100.0,43374703.0,979817.0,,,,11.570933143638047
1845,Mahoning,OH,-80.585632,40.914603,2089.0,Open,109.6,60.0,,119.0,22129315.0,7624310.0,192091.0,,7140.0,,75.51111192091248
1850,Richland,OH,-82.48737,40.97586,2038.0,Open,186.3,45.5,,,30033660.0,17696328.0,1251288.0,,,,9.859706158774
1852,Ottawa,OH,-83.033,41.525,2105.0,Open,,116.5,,,17874378.0,10806804.0,84709.0,,,,83.43356668122631
1853,Pike,OH,-82.96376,39.08577,2057.0,Open,140.0,48.0,210.0,,20649694.0,5984336.0,415636.0,29400.0,,,35.284138043865305
1854,Fairfield,OH,-82.71237,39.590021,2168.0,Open,,107.0,,,24400513.0,10128521.0,151932.0,,,,93.93670852749915
1855,Preble,OH,-84.6525,39.7446,2050.0,Open,52.0,,,,2756250.0,1492170.0,42538.0,,,,29.71648878649678
1858,Brown,OH,-83.9018,38.8973,2090.0,Open,223.0,85.4,,,70795493.0,9571806.0,566941.0,,,,107.98952095544334
1859,Hamilton,OH,-84.59822,39.2745,2058.0,Open,,,,,165063026.0,68019346.0,2420172.0,,,,40.09784428544748
1863,Montgomery,OH,-84.25222,39.71552,2052.0,Open,,69.8,,,15861049.0,12263639.0,163210.0,,,,22.041602842963055
1864,Perry,OH,-82.2885,39.876,2126.0,Open,,85.0,,,47378919.0,14533144.0,279474.0,,,,117.52712237989938
1865,Seneca,OH,-83.413297,41.108433,2039.0,Open,,116.2,,,35722859.0,21695146.0,2033240.0,,,,6.899191930121383
1868,Perry,OH,-82.158251,39.735838,2031.0,Open,,49.0,,,29166888.0,13839776.0,1852908.0,,,,8.27192283696762
1869,Williams,OH,-84.5815,41.51385,2126.0,Open,,94.8,,,28770689.0,8265506.0,100417.0,,,,204.20031468775207
1871,Clinton,OH,-83.8512,39.44,,Open,,,,,780000.0,734611.0,14300.0,,,,3.174055944055944
1872,Wood,OH,-83.7377,41.3772,2024.0,Open,43.0,43.0,155.0,100.0,1488259.0,1128918.0,60470.0,6665.0,4300.0,0.3548387096774194,5.942467339176451
1874,Pittsburg,OK,-95.764358,34.928455,2039.0,Open,,31.1,,,2856049.0,1956928.0,71181.0,,,,12.631474691279976
1875,Osage,OK,-96.190532,36.158803,2047.0,Open,150.0,58.8,,,14959047.0,10766527.0,926502.0,,,,4.5251062598893474
1877,Pottawatomie,OK,-96.80372,35.34758,2064.0,Open,,42.1,,,3705336.0,1214544.0,0.0,,,,inf
1878,Lincoln,OK,-96.647746,35.543891,2040.0,Open,,32.6,,,1499055.0,1422797.0,55312.0,,,,1.3786881689326005
1879,Adair,OK,-94.63732,35.71223,,Open,,,,,,877185.0,60341.0,,,,
1881,Pittsburg,OK,-95.832677,34.950083,,Open,,,,,,,432.0,,,,
1882,Okmulgee,OK,-95.890227,35.603247,2036.0,Open,,21.4,,,1464374.0,1018858.0,30775.0,,,,14.47655564581641
1883,Sequoyah,OK,-94.744806,35.414166,2026.0,Open,,42.9,,,2161857.0,1588181.0,88505.0,,,,6.481848483136546
1884,Oklahoma,OK,-97.41513,35.50373,2069.0,Open,,165.0,100.0,,38714220.0,21936630.0,476377.0,,,,35.21914366142782
1885,Beckham,OK,-99.496143,35.425498,,Open,,,,,,,29905.0,,,,
1886,Garfield,OK,-97.859154,36.36195,2031.0,Open,72.0,40.0,,50.0,4851000.0,3109680.0,84759.0,,2000.0,,20.544366969879306
1888,Grady,OK,-97.992425,35.195179,,Open,74.0,,,,4531275.0,143325.0,118.0,,,,37186.016949152545
1889,Comanche,OK,-98.4,34.523,2025.0,Open,130.0,106.0,80.0,,,6034860.0,203854.0,10400.0,,,
1890,McCurtain,OK,-94.846107,33.86093,2028.0,Open,44.5,,,,,,11679.0,,,,
1891,Muskogee,OK,-95.42966,35.71897,2023.0,Open,,44.7,,,4141831.0,4111647.0,153892.0,,,,0.19613755100979907
1892,McClain,OK,-97.58247,35.26531,2034.0,Open,66.0,50.1,,66.0,4285258.0,2857352.0,0.0,,3306.6,,inf
1894,Woodward,OK,,,,Open,,,,,,982633.0,39305.0,,,,
1895,Oklahoma,OK,-97.64,35.4455,2025.0,Open,,131.1,,,,15521691.0,730507.0,,,,
1896,Canadian,OK,-97.9255,35.438,2027.0,Open,,68.0,,,3600725.0,3147236.0,91648.0,,,,4.948160352653631
1897,Osage,OK,-96.012747,36.717611,2135.0,Open,50.0,36.9,,,13608819.0,2817721.0,80862.0,,,,133.45079270856522
1898,Garvin,OK,-97.204547,34.713702,2026.0,Open,,,,,1333482.0,1105458.0,119040.0,,,,1.915524193548387
1900,Kay,OK,-97.11,36.647,2041.0,Open,,41.0,,,2795544.0,1642796.0,47645.0,,,,24.19452198551789
1901,Wagoner,OK,-95.51475,35.85034,2131.0,Open,,42.7,,,16467428.0,3736131.0,173.0,,,,73591.31213872832
1902,Tulsa,OK,-95.83306,36.20683,2035.0,Open,,127.6,,,24613395.0,17919587.0,534529.0,,,,12.522815413195541
1903,Major,OK,-98.19,36.458,2114.0,Open,89.7,58.4,,,5777100.0,3652535.0,81499.0,,,,26.06860206873704
1904,Beckham,OK,-99.630873,35.333656,,Open,,,,,,,4263.0,,,,
1905,Seminole,OK,-96.546,35.18,2059.0,Open,38.0,25.0,90.0,50.0,2349866.0,963238.0,3034.0,3420.0,1250.0,0.6345029239766082,457.0296638101516
1906,Oklahoma,OK,-97.4592,35.3972,2068.0,Open,227.4,130.6,,112.0,41991349.0,19059508.0,543978.0,,14627.199999999999,,42.155824316424564
1907,Carter,OK,-97.0382,34.1891,2057.0,Open,120.0,61.7,160.0,140.0,18645326.0,4628349.0,180625.0,19200.0,8638.0,0.5501041666666666,77.60264083044983
1908,Grady,OK,-97.8132,34.9326,2032.0,Open,79.0,51.4,,,,4341595.0,150309.0,,,,
1909,Payne,OK,-97.052136,36.209557,2142.0,Open,,45.9,,,5668800.0,4297738.0,80796.0,,,,16.96942917966236
1910,Wallowa,OR,-117.256,45.458,,Open,,,,,,,,,,,
1911,Baker,OR,-117.7851,44.7047,,Open,,,,,,,,,,,
1912,Harney,OR,-119.0846,43.5842,,Open,,,,,,,,,,,
1913,Klamath,OR,-121.7865,43.2015,,Open,,,,,,,,,,,
1914,Benton,OR,-123.22506,44.69915,2044.0,Open,,82.0,,,39154705.0,18723663.0,1046195.0,,,,19.528904267368894
1915,Gilliam,OR,-120.217237,45.639234,2131.0,Open,687.0,273.5,,250.0,392486949.0,64369297.0,2817538.0,,68375.0,,116.45544869314983
1916,Crook,OR,-120.912,44.304,2050.0,Open,,62.2,,,79128886.0,1644979.0,37010.0,,,,2093.5938124831127
1917,Jackson,OR,-122.773,42.382,2100.0,Open,200.0,60.0,,,75820188.0,8915073.0,644127.0,,,,103.86944655324183
1918,Morrow,OR,-119.623,45.7447,2186.0,Open,498.0,89.7,,,85014551.0,15054188.0,969950.0,,,,72.12780349502552
1919,Baker,OR,-117.919,44.9294,,Open,,,,,,,,,,,
1920,Umatilla,OR,-118.5579,45.834,,Open,,,,,,,,,,,
1922,Deschutes,OR,-121.255,44.01,2029.0,Open,135.0,89.0,,100.0,23274878.0,4635167.0,219522.0,,8900.0,,84.9104463333971
1923,Malheur,OR,-117.1518,43.8763,,Open,,,,,,,,,,,
1924,Umatilla,OR,-121.2936,44.0945,2030.0,Open,45.0,,,,,125000.0,5075.0,,,,
1926,Yamhill,OR,-123.247,45.161,2035.0,Open,88.0,84.7,,,,16676913.0,36572.0,,,,
1927,Douglas,OR,-123.379,43.1859,2040.0,Open,,51.4,150.0,50.0,5200890.0,3994911.0,163093.0,,2570.0,,7.394425266565702
1929,Lane,OR,-123.0088,43.9792,2091.0,Open,,79.0,,200.0,32116052.0,10354829.0,292176.0,,15800.0,,74.47984434039756
1932,Lake,OR,-120.3677,42.2835,,Open,,,,,,,,,,,
1933,Wasco,OR,-121.14089,45.56129,2045.0,Open,160.0,69.6,,,18373145.0,11988150.0,1117943.0,,,,5.711377950396398
1935,Lackawanna,PA,-75.735,41.398,2053.0,Open,513.0,193.5,,,49078436.0,24759901.0,601393.0,,,,40.43701040750391
1937,Washington,PA,-80.2647,40.2083,2091.0,Open,160.0,141.7,,,42740690.0,15522535.0,438449.0,,,,62.07826908032633
1938,Northampton,PA,-75.307,40.625,2025.0,Open,201.0,109.0,,,12825787.0,10258767.0,413686.0,,,,6.2052377890477315
1939,Franklin,PA,-77.55683,39.97204,2035.0,Open,241.0,140.0,,,24873975.0,14241650.0,738710.0,,,,14.393097426595011
1940,Bradford,PA,-76.63,41.777,2024.0,Open,54.0,54.0,,,3946817.0,3652939.0,111689.0,,,,2.6312170401740547
1942,Fayette,PA,-79.8388,39.897,2024.0,Open,,44.0,,,5069721.0,4875019.0,152356.0,,,,1.2779411378613248
1943,Northampton,PA,-75.2275,40.6658,2040.0,Open,108.0,71.1,,,12555143.0,8847286.0,198797.0,,,,18.65147361378693
1944,Schuylkill,PA,-76.375,40.675,2028.0,Open,270.0,119.9,,,18882817.0,5564197.0,464068.0,,,,28.699716420869354
1945,Berks,PA,-75.9144,40.1806,2030.0,Open,277.0,197.0,,150.0,55161632.0,37608963.0,1282025.0,,29550.0,,13.691362492931106
1948,Cumberland,PA,-77.5039,40.1344,2032.0,Open,174.0,145.3,,,17505899.0,13468726.0,346574.0,,,,11.648805161379677
1952,Indiana,PA,-79.1373,40.493,2068.0,Open,110.0,47.5,,,10003535.0,3817476.0,108298.0,,,,57.12071321723393
1953,Bucks,PA,-74.758443,40.151865,2028.0,Open,194.0,,,,35126718.0,15544105.0,3590675.0,,,,5.453741427447485
1955,Lancaster,PA,-76.446215,39.955047,2038.0,Open,96.0,93.0,180.0,120.0,20803562.0,14037206.0,406549.0,17280.0,11160.0,0.35416666666666663,16.64339599900627
1956,Northampton,PA,-75.2619,40.8581,2028.0,Open,206.0,152.3,,78.0,23788049.0,22761453.0,717858.0,,11879.400000000001,,1.43008227253858
1957,Lebanon,PA,-76.49443,40.36401,2043.0,Open,,106.1,75.0,,9664094.0,4985388.0,141157.0,,,,33.14540547050447
1958,Westmoreland,PA,-79.5837,40.129,2025.0,Open,87.0,72.4,,88.0,12457846.0,10631191.0,250986.0,,6371.200000000001,,7.2779158996916165
1959,Elk,PA,-78.6469,41.2953,2053.0,Open,,204.6,,,59784189.0,26222011.0,469556.0,,,,71.4764117591938
1962,Allegheny,PA,-80.29125,40.43512,2044.0,Open,,377.9,,,39259959.0,24401328.0,554507.0,,,,26.7961107794852
1963,Beaver,PA,-80.1703,40.72,2030.0,Open,11.0,,,,4054000.0,1891462.0,73368.0,,,,29.4752208047105
1964,Allegheny,PA,-79.878898,40.255541,2027.0,Open,400.0,104.6,,,,4653211.0,156706.0,,,,
1966,Lackawanna,PA,-75.608,41.427,2064.0,Open,,396.8,,,53416213.0,50878808.0,1850010.0,,,,1.3715628564169924
1969,Erie,PA,-80.0178,42.0619,2069.0,Open,210.0,151.3,,108.0,31526105.0,17748560.0,297775.0,,16340.400000000001,,46.268306607337756
1970,Lancaster,PA,-75.9456,40.1067,2032.0,Open,168.0,152.0,163.0,150.0,18435575.0,15498170.0,296848.0,27384.0,22800.0,0.16739702015775637,9.895316795127473
1972,Cambria,PA,-78.876,40.4321,2130.0,Open,127.0,79.5,,,34585920.0,7989096.0,118759.0,,,,223.95628120816107
1974,Lycoming,PA,-76.9194,41.1519,2036.0,Open,,115.0,175.0,120.0,14217665.0,12016882.0,316592.0,,13800.0,,6.951480138474756
1978,McKean,PA,-78.6378,41.665,2071.0,Open,,37.0,,,23529932.0,3373002.0,99759.0,,,,202.05625557593802
1980,York,PA,-76.595,39.956,2025.0,Open,,230.0,,,42202993.0,36148625.0,999043.0,,,,6.060167580374419
1982,Allegheny,PA,-79.79,40.405,2044.0,Open,,141.7,,,24628785.0,20603574.0,439123.0,,,,9.166477274021174
1984,Somerset,PA,-78.9897,39.9719,2052.0,Open,,62.8,,,12743971.0,6911586.0,148686.0,,,,39.22618807419663
1985,Franklin,PA,-77.8033,39.7947,2049.0,Open,,89.0,75.0,,21882949.0,11992424.0,349102.0,,,,28.331332962858994
1986,Butler,PA,-79.901903,41.019046,2024.0,Open,63.0,51.5,,,5107537.0,4767391.0,80806.0,,,,4.2094151424399175
1988,Berks,PA,-75.8139,40.2736,2028.0,Open,25.0,,,,12034669.0,10796607.0,379784.0,,,,3.259910896720241
